ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
GEORGIA	Atlanta	Diverse city with lots to do (the Beltline, Ponce/Krog markets, Piedmont park, sporting events, museums, etc.), very affordable for city of its size, not too far from hiking and other outdoor activities, weather. Great food, lots of sports, big SEC city, lots of pups in the city (Piedmont park has great dog parks). Best places to live: Highlands, Inman Park, Midtown, Buckhead	Traffic (really bad, people drive like lunatics, there's always multiple accidents on every highway), very spread out city with lots of neighborhood pockets, public transportation does not cover a lot of the city. Would need to lease/buy a car. +2 rent prices increasing even in surrounding metro.	MARTA is not SMARTA...  But for real, the 'metro' can get you around, but it's kind of crappy. Best use is to get to the airport.	Summer is hot but bearable, rest of the year is ok, doesn't get too cold in the winter    Beware of pollen. Don't get a white car. You'll end up with a yellow car by the end of the day.	B	B+ < details? +1	A+	
GEORGIA	Augusta	Masters take place here, medium size city that is growing at a steady pace. Excellent quality of life and super affordable. Residents are able to buy houses since their first year. Family friendly	No a good area for nightlife or single people.	No, traffic is non-existant, you need a car but public transportation is growing	Hot and humid. Summers are intense, winter and fall stay pretty nice	C+	B+	B+	
GEORGIA	Chattanooga	Beautiful geography, excellent opportunities for outdoorsy people, low COL, driving access to several large cities, great place to raise a family, plenty of places to drink/eat with several cool bars which includes rooftop bars (proportion to city size), easy commute from suburbs for hospital hours (rush is 730-8am & 430-5pm)	Relatively small city with tiny airport (many people find it more worthwhile to drive to Atlanta for a direct flight). Overall education level of the population is lower than other metro areas I've experienced.	Not great, driving is necessary for navigating the city.	Summers are hot/humid, spring and fall are beautiful. Winters are dark and dreary but realtively mild (20F is usually as low as it gets).	Eh..	C		
GEORGIA	Columbus	Wonderful arts and culture scene, especially downtown. Tons of great restaurants, parks, trails, hiking. Close to Atl for the big airport and quick day trips							
GEORGIA	Macon	!!!				terrible		A	i've never felt unsafe but its definitely not safe.
HAWAII	Honolulu	It's Hawaii	Expensive af, traffic	Overall good <<public transportation is not efficient in Hawaii lol	Tropical	Urban setting, you will find someone <<< how does being in an island setting affect dating?	LGBTQ friendly	Heavy Asian/Pacific Islander population	
ILLINOIS	Berwyn								
ILLINOIS	Chicago	Diverse city with great dating options. Lots of amazing resturants/bars/coffee shops, and many things to do (museums/art galleries/beach/concerts/sport games), tons of lakeside greenspace for biking/walking. High number of great academic and community programs so there's definitely a medical/academic community. <<+1, personally think that Chicago is one of the best places to move as a young broke resident looking for a new city while having fun doing stuff.     Way better COL than other major cities, while still getting the city vibe (eg, same cost for apartment would give you in unit laundry in a renovated space vs. a sketchy part of the neighborhood with communal laundry in a big city). Don't necessarily need a car to get around, and Zipcar is easy to get if you want to trek out for nature or IKEA or something. Tied with SoCal (Irvine/LA) for best place to live in if you're into League of Legends. Very low ping since the servers are based in Chicago	Traffic during peak times, weather can be rough if you've never been around cold winters (but in my opinion it's not that bad), City living in every sense of the word, so not much "outdoor" activities, if that's your thing. (Disagree +3 - also live here and there's tons of green space and parks everywhere) (Agree in terms of hiking or mountain activities). Can be sketchy during the dark, don't be stupid. Still the Midwest.	great public transportation system; arguably the best in the country but only if you want to get downtown, v difficult to go from outer neighborhood to outer neighborhood (wheels on a spoke system) << To whoever said that Chicago has the best public transport system, NYC would like to have a word+2. They also must not live in Hyde Park... << Also if you move here, recommend NOT using the subway at night and if you have to the buses tend to be a lot safer/cleaner.	windy garbage. can't feel face in winter. even worse when you have to walk everywhere and wait outside for buses/trains (owning a car is very expensive). summer is amazing and unbeatable.	Pretty great for all races imo. Compared to other midwest cities, everyone isn't married by 26.	Wonderful	Very (unless you are by northwestern), plenty of historical neighborhoods to explore << Even then, not bad.	people are pretty paranoid about shootings and robberies here, but in my experience this is rare around hospitals or on busy weekends, beware fearmongering by suburbanites who have never actually walked the streets of Chicago themselves at night +1 // been out and about many late nights downtown, never had issues, use your common sense - ideally be with people and be aware of surroundings and you'll never have any issues
ILLINOIS	Peoria	Lots of coffee shops and breweries, some live music, nice farmers market in the summer. Pretty river front. Very cheap COL (11th cheapest place to live pre USWN) and "87 best place to live in the US"	Very little to do. kind of more a giant suburb than urban. Lots of poverty, very red. Pretty much all of the community's money is coming from a company that is slowly moving out.     Difficult to find a trusty wax parlor, I was rocking a bush first few months of intern year <- just get a mens beard trimmer and use the 5mm guard <<its not the same lol	None	Nice during the summer, coooold winters	Bad lol. People make do though I guess.	One gay bar <<ayyyy	One of the most segregated cities in the country, and ranked 7th worst place for black people to live <<NOT TRUE, we're #5 now lmao	
ILLINOIS	Rockford		Not a lot to do. Non-existent dating. Downtown area (or anyting west of Rock River) is not safe.						
ILLINOIS	Urbana-Champaign								
INDIANA	Fort Wayne	Near world class entertainment, food scene is amazing, near major cities for easy quick getaway whenever you want, COL is low comparable to California, sports are up and coming	Rent is getting expensive around downtown. Lots of bachelorette partiers and drunk people on weekend nights. Traffic around rush hours around med centers/people here drive terribly. Definitely feels like a small city if you come from large coastal places. <IMO rent is too high everywhere. Becoming more diverse but still not diverse enough IMO. Patient population is from a much larger catchment area and is not diverse.	"Bus system is ok. Can get you most places in the city. best to have a car.    Certain places you can walk to the hospital or within city depending on your neighborhood (and if you like hills)"	Is it really as bad as everyone says it is? <unfortunately yes < Not at all, February is the coldest, otherwise like everyother location, you get used to cold and learn to adapt. 50 degrees could be cold to some, warm to others, get wool socks and down coat. < I don't think anyone would agree the cold there is subjective lol < Yes, this is bullshit lol. The weather is ass from November to May. April is cold and windy and with minimal sunsine. Summers can be hot and humid. There is only a couple of months of the year where I would classify the weather as good.	Lol + 10 < Dating scene is more favorable to men vs women as more women in the population and not enough guys	Not a chance	Not the most Diverse area but A good mix of a white and black population with some refugees from Africa, Middle East, south east Asia.	
INDIANA	Indianapolis	relaitvely low COL, Ikea :) > Outdoor parks and Rec areas around the city. Seconding the lower cost of living.	midwest weather, poor night life, limited outdoor activities, bad for non-white folks	Very limited public transport.	Pretty standard for Midwest. Cold winters but minimal snow. Warm/hot summers	lol	lol // there are pockets of progressive cities like Broad Ripple, Fountain Square, and hubs like Mass Ave with some ok gay bars // Indy is overall fine, but the rest of Indiana.....	more diversity than you'd think (59% white, 29% black/AA, 10% hispanic/latinx, ~3% asian). Really large immigrant populations (specifically from Myanmer, Honduras, and Nigeria) // the largest burmese community in the country. Few large international grocery chains to get the basics	
IOWA	Des Moines	typical midwest town- pretty easy to get around w/little to no traffic, low COL. pretty decent food options (hispanic incl mexican, ecuadorian, cuban, also viet, thai, etc). really nice farmers market in the summer months. West des moines is pretty upscale with a nice mall, Costco, supertarget, higher end restuarants, etc. pretty suburban.	cold if you're not used to that, no huge body of water, not super walkable unless you live downtown so you'll likely need a car	bus system but not sure how good it is	cold in the winter << & can be hot/humid in the summer	not sure, a bit of a bar scene, but not huge.		75% white, 11% AA, 12% Hispanic, 4% Asian	
IOWA	Iowa City	Opinions please?? << people are nice I guess, they love the concept of "Iowa nice", but as a west coast native, they seem like normal ppl who are just a little too friendly to me. People LOVE football and tailgating in Iowa City, so if that's your thing, great... if not, get out of town for every home game bc it gets incredibly annoying. Rent isn't outrageous. Never any traffic. There is a target, trader joes, and costco. >> some great little restaraunts, feels small town but has a lot of shopping,etc. If you bike there are tons of trails for that. Outdoor rock climbing a short(ish) drive away. When the undergrads leave for the summer the town feels very chill/quiet if you like that.	Nothing to do in the winter (and winter lasts from october - may). Obession with college football. Not a ton to do in the summer either and it gets incredibly hot and humid. >> college town, the undergrads can be a bit annoying on weekend nights if you're walking around.		Awful. Winters are very cold (high of 20 on a good day), dry, and very long (oct - may). Summers are hot and humid, 90+ degrees.	not great, mostly college students on the apps, bars are full of them too (pre-COVID... but honestly probably during COVID too)	friendly, but still needs work. >> there's a gay bar, skews liberal because it's a college town, I know of queer grad students having success on dating apps. Pride parade/events in the summer, and all the neighboring cities (Des Moines, Quad Cities, etc) have pride celebrations too.	by far mostly white, small refugee population and some migrant farm workers from latin america. >> If you're Native there are Natives here, just not a lot of us. There is a Native student group at the university (undergrads and grad students), so definitely get involved with that as a starting point. There's a big pow wow every year and a reservation not far that also has a casino and pow wows.	
KANSAS	Kansas City	decent bar scene, lots of local restaurants with good food, great sport scene if you like NFL or baseball. <<Slightly cheaper COL compared to MO side. Very nice, safe suburbs and good schools about 30 minutes out	horrible drivers who will side swipe your car and yeet. not the safest city. racial tension here is strong af	bus - bad, street car - good, and is being expanded!	mild winters and mild summers	dating is yikessss city here, esp for people of color.	there are a lot of pride flags but im told the dating pool is small from friends (take this opinion w/ a grain of salt bc this is not first hand experience im just trying to help lol)	horrible and the city is literally segregated down Troost Ave. constant microaggressions. Supprisingly huge latinx population, you will learn spanish on accident if you don't know it yet, huge plus.	Stats wise, pretty bad. I've felt safe mostly. Lots of shooting and gang violence my first 3 years here, has seemed to slow down drastically since 2020
KANSAS	Wichita	Low COL, family friendly, kind midwest vibe, nice new airport, decent culture of independent restaurants/bars - Old Town is pretty cool, slower pace of life (could be con depending on your lifestyle)	A bit isolated from other cities (OKC, KC). No ocean or mountains nearby, Denver is a 7hr drive.	You definitely need a car	humid, hot summers, 4 seasons				
KENTUCKY	Knoxville	CIty with hometown feel, great food. Close to bigger cities for weekend trips. Great hiking. Really nice weather with no severe storms. plenty of bars. lots of college students. cheap livinng							
KENTUCKY	Lexington	Lexington is a hidden gem. It's a medium sized city with plenty to do (restaurants, bars, outdoor activities, UK sports). Safe and ridiculously affordable.	Crime rate rising - stats per capita for murder rate higher than NYC- stay away from some dangerous areas and you'll be totally fine. Mostly gang related violence/crime -- pretty much like any small city. When looking for housing use websites like neighborhoodscouts to show crime maps and avoid those areas.		All 4 seasons, very mild winter with little snow.			More diverse than you would think for KY because it's a university city.	
KENTUCKY	Louisville	Smaller city with a mid sized city feel. Lots of breweries and bourbon distilleries if that's your thing, AMAZING local food scene, plenty of things to do. Great public parks for running, I've heard there are good hiking spots within a short drive. Lots of surrounding suburbs that function basically like their own little city. Actually has a great cost of living, especially the further you get from downtown. Three parks designed by Olmsted. Bernheim forest and Jefferson are two parks with hiking trails that are within 25-30 minutes driving.	Living in certain parts of downtown not super safe (mainly the west). The traffic can be bad during rush hour due to the convoluted interstate system (traffic is not bad if you are comparing to New York, LA). Pretty much 100% of people suffer from terrible ohio river valley allergies.	Students and residents can ride the TARC (transit authority of river city) buses for free with ID, although I don't know much about it since it's easy to own/lease a car and drive everywhere you need to go	Has 4 distinct seasons: hot, humid summer, really nice fall weather that lasts ~2 months, winters can get cold and it snows a decent amount, spring=allergies. I feel like we get a lot of overcast days being so close to the Ohio river.	Pretty good dating scene; a lot of younger people moving to the area.	I feel like the LGBTQ+ scene is great here and very well-supported, especially compared to the rest of the state< The School of Medicine has an LGBTQ+ curriculum		
LOUISIANA	Baton Rouge	The young population has been growing in the last few years. More and more restaurants are popping up. Very affordable COL. Only about an hour from baddies in New Orleans.	This city has the worst infrastructure in the entire country. Traffic is awful during rush hour. Not much to do in terms of nature, have to drive about an hour north for okay hiking trails. It also rains 90% of the time during the summer and of course hurricanes are a possiblity. < Terrible city, nothing to do except drive to NOLA.	There's a bus system but it's very suboptimal. Would not recommend relying on it.	Hot, humid, rainy summers with mild winters; no real fall or spring	Actually pretty decent	Also pretty decent given the size of the city and the fact that it's in the deep south	Not really; neighbborhoods are kinda segregated	
LOUISIANA	Lafayette						pretty good		
LOUISIANA	New Orleans	Amaxzing cety, alwiz somthng to doo on tyme off, grate culchr. Peopl hav the most incrdble, wld storys. Ladiez are assed up frm the calves up.    Incrdb food- mostly Suthr styl or Vietnamese! NOLA wl alwiz surpryz yoo (for gud or bad) and the sens of commnity is incrdbly strong. Nebrs luk owt for ech othr, pepl celebrat togethr for eny litl reasn. Mard Gras is actuly a (famly frendly) munths long afr of paradz and celebrashns. Mny othr fun festvls thruowt the yer. mnmnl traffc/nothng is furthr than a 15-20 mn drve. Peopl luv smal bussnss/shoppng locl and luv supprting ech othr - 10/10 recommd. Relatvly lbral but stl the Suth. Grat cety asde frm werd comnts about assed up ladys. publc trnsit is somwhat lackng.	Car might flood - secoond that - thirdd, thiss can happen during moderate rainstorms. Look for housing in areas thatt dont flood, if possible. Somee neighborhooods can be danggerous - it iss still a city and you mustt pay attentionn to your surroundinngs.  Roads are absolutelly terrible, very bad driverrs, high car insurannce cost. inffrastructure in generall not the best. Cityy shuts down during Mardi Graas.  Lived in city for 4 yeaars - roads suck, bringg an SUV. Flooding will happpen, especially in Mid Citty which iss close to the Hospittals and cheap enough to rent a house. I like Midd City if you wantt to live in New Orleans, otherwisee look at living in Metairiee whichh is like 2 exitss away on the 10.	Bad. Most people have cars, some can get by with a bicycle.	Hot, humid, rain, never snow	Most people you meet grew up here but there are also plenty of transplants from around the country. Most young professionals are in the medical field or lawyers.	Great!! Super welcoming		Not a safe city, had drive by shoots 1 block from my hosue. If you follow nola.com you will see crime sprees going on in the city, teenage boys driving around with guns and raping people. https://fox17.com/news/nation-world/man-charged-with-kidnapping-raping-couple-after-new-orleans-shooting This guy also shot a Tulane med stuent.
LOUISIANA	Shreveport	None <- LOL this whole row	Everything. Small town. Very unsafe. Cars are regularly broken into. Even hospital parking lots are unsafe. Roads are terrible. Food is okay. COL has gone up this past year. Apartment rents skyrocketed. Flights are more expensive from here and no international flights. There's trash everywhere. Not many restuarants. Homelessness seems to be increasing. They need to put ads on the TV soliciting donations for the people of shreveport. It's so ass out here. I would donate money to the people of Shreveport so they can get a bus ticket and leave this hellhole	There is a bus system, but poorly maintained and low-frequency. Don't count on it. Must have a car. Traffic can be surprisingly bad especially around Youree Drive, the bridges across the Red River, and in Bossier.	It sucks. Hot and oppressively humid during the summer. Winters are mild but still humid. Never really snows, but expect a few ice storms in the winter that shut down the city.	Dismal	Not a chance    Overall a very evangelical city. You probably won't get attacked or anything but you may be judged if you are openly LGBT.	LOL	Crime is concentrated in the poorest areas of the city, but the poverty rate in the city is pretty high so those areas are more common than most cities.
MAINE	Portland	pleasant, charming city, incredible craft beer scene, Arts district has lots of nice restaurants. Beaches in the summer, skiing in the winter, beautiful running trails to get that fresh Maine air, very environmentally conscious city, low key, very dog/family friendly, safe.	minimal diversity, must be able to tolerate or enjoy deeze nuts, small. Minimal nightlife/laughable "club" scene - better for those who'd want a craft beer at 10pm and in bed by 12<even 10 is a stretch at times to get a beer. Most things close pretty early. This whole hippie culture goes way too far. I know way too many people who just straight up dont beleive in science. Yeah, sure, the "vibes" will prevent your kids from getting measles 🤦🏽‍♀️	bus system but you definitely need a car (ideally with 4 wheel drive). If you live on the peninsula, most things are walkable.	^similar to Madison description above excpet less windchill	small city so small dating pool - you'll inevitably see people you recognize out and about	very liberal city, however also very small		
MARYLAND	Baltimore	Lots of young people, a city of neighborhoods that each has a different feel so you can easily find your niche whether it be quirky or calm or fun-loving. DC is close (can drive or take the $8 train) and so is Philly. COL is pretty cheap considering you have the amenities of a city (being able to walk to restaurants, *breweries*, coffee shops, grocery store) but be able to have luxuries of living close to the waterfront. The festivals and farmers markets are pretty cool and unique too (ie Hon festival, Artscape, Light City). BWI is super cheap to fly out of even cross country. And just because DC is above Baltimore on this spreadsheet: https://www.baltimoresun.com/features/baltimore-insider/bal-100-reasons-why-baltimore-is-better-than-dc-pictures-20130809-photogallery.html < most of these are dumb AF <Food scene is VERY good for a medium sized city, short drive to suburbs will get you even more food options	It's not the Wire but it still has its safety issues so don't leave items visible in car or walk with headphones. Changes block by block. Some parts of the city are safer than others so definitely visit and walk around the area you intend to move to if you decide to live here. Public school system in the city is not as good as the county (no heat...). < city is improving, but there are still blocks of abandoned homes that look like they had just been bombed < Please take safety seriously if you are strongly considering Baltimore. This is a GREAT place for underserved medicine but just be very conservative after dark (basic stuff like drive/uber instead of walking long distances alone at night, stay in popular places) and you will be fine. If you don't want to deal with the safety issues at all, the suburbs are a 20-30min drive to work and extremely safe (very family friendly and cheap!).	Free circulator shuttle that is often late. Not great public transportation. Basically nobody uses public transport because its easy to drive/walk to work- also safety issues after dark. call it on an app.	Hot and humid in summer, milder winters (really only Dec-Feb/Mar). // Less humid than DC lol	Lots of recent grads (similar to DC) but cheaper (: < dating scene is mostly online, but if you like going to pubs or joining sports leagues during non-winter months you will be fine (volleyball, soccer)	Solid? Check out the Mt. Vernon area neighborhood, and Hampden. // Know of at least couple gay bars/clubs in Mt Vernon. Baltimore Pride is a big deal locally. Lot of LGBTQ history in the city. LGBTQ flags are displayed at a lot of shops/restaurants	Yes. < overwhelmingly african american, large SES diversity but limited hispanic/asian population here (Hopkins almost has a monopoly over the Spanish speaking patients) < I disagree there is a LARGE spanish-speaking population. City is very diverse but also somewhat segregated. You walk into most restaurants in Fells', Fed Hill, or Mt Vernon, you will only see a minority of black people. <suburbs (Towson, Columbia etc) are way more diverse than you probably think and actually very integrated	Not safe at all; Even in nice neighborhoods like Upper Fells, I've been mugged at gunpoint multiple times (once walking from my parked car to my house); window of car also has been smashed multiple times so I would recommend living close to the harbor at one of the nice luxury apartments on the waterfront that provides parking
MASSACHUSETTS	Boston	On the agua, easily una ciudad walkable y a más segura at that. A paradise para runners. Tons of top escuelas y programas around the área with a big escena de citas. Snow is handled bien. Something is happening para all seasons. Great escena de alcohol. Escena de comida is good if tienes un carro to drive to los pockets con food gems that el sistema de metro cannot reach (es decir, if you are sick of comida china in Chinatown, there is mejor comida asiática in Malden/Quincy IMO). Parts de Boston always seem to be growing/building something new (West End with the Hub, Cambridge, Allston). Easy to access el mejor skiing en el northeast (vs NYC) y tons of montañas para hiking just a drive north or west. Playas outside el Boston proper are muy accesibles if you don't want to access los like Revere Beach via el sistema de metro. The North End tiene some de los mejores Italian gems (On par y algunos dishes mejor than NYC) but I find los Italian joints that utilizan seafood have the most éxito. Tends to be más liberal leaning than la mayoría de Massachusetts y significantly más liberal than el northeast cities (with la excepción de NYC) - I have only maybe had a handful de trump supporting patients at my hospital. While pockets de communities are segregated, Boston still seems más diverse than lo que gets credit for.	Expensive vivienda is the biggest downside but I believe la mayoría de los programas compensate for this. Weather if you don't like cold temperatura will be un problema. As a POC, I don't feel like I have been discriminado against compared to otras big ciudades in America despite algunos parts de Boston being segregados (ie Beacon hill siendo white, Chinatown siendo Asian obv, Dorchester siendo black, y East Boston siendo LatinX), but I think con all of the Boston programas combined, hay only a handful de black residents en los programas so there is that. A running chiste is that if you're allergic to shellfish tendrás problemas aquí but getting ciertos tipos de food (ie amazing pho) will require un longer ride en el subway or a carro to get to esos lugares instead of walking fuera for 5 minutos. / the costo de a studio or 1BR is probably on par con NYC ($2k estudio hacia arriba), BUT estos lugares have more espacio y al menos in unit laundry, central AC, newly built - so you're pagando for mejor, even if el mínimo out of pocket is el mismo. Things en Boston también close super early, difícil to find muchos food lugares open past 9-10PM. Nightlife is pretty malo for un big ciudad too as bars close pretty early. Perspective como alguien who moved from Chicago to Boston for residencia: más expensive rent, peor comida (very bland y pricey), extremely liberal politics (I'm moderate y usually vote blue, and this was still un huge shellshock for me), residential buildings son generally old (in-unit AC / laundry aren't guaranteed even with 2.5K/month rent). I absolutely adore mi programa but will be seeking to move elsewhere for fellowship. Mi spouse who vivió en NYC, Boston, y Chicago: ""Boston is all el gasto de NYC without any de los beneficios"" and eso resonates. << ++ to most de esto, Boston cuesta tanto como larger ciudades con un way worse food y nightlife scene <+1. \\Yelp did a study comparing Asian food in big cities and Boston ranked dead last. If you think the pho is good here, i feel sorry for you	Yes - mejor than I pensé it would be. // until you get stuck en the Línea Roja for 2 horas underground. But it's a lot mejor than most ciudades in the US TBH < siempre y cuando tu tren de la Línea Naranja doesn't get set on fire	Summers son increíbles, Spring/Fall is increíble (Boston Common y Boston Public Garden son impresionantes durante este tiempo). Winter is frío, but if you are into snow y snow sports, it can be divertido.	Plentiful	Obvi<< Can someone elaborate on this? Particularly about soical scene here. I imagine maybe decent dating pool given all the univerisities/gradstudents/residents but do personas go out? << Sizable dating pool with muchos colleges/universities. A numero of well-established LGBTQ facing bars/clubs    B+ on a good day, but really a B	Pretty sólido, given todas las universidades, la ciencia / la industria tecnológica en la área. Less diverso que maybe NYC. Boston does have una historia de racismo / segregación, y los barrios remain pretty segregados. I've vivido en both NYC y Boston, y diría que if I'm going to a bar in Boston, hay una mucha mayor probabilidad de que me sienta un poco más incómodo que en NYC (as a POC), y you may see más gente con American flag t-shirts, if you catch mi drift << esto depende del área de la ciudad / tipo de bar al que vayas though, y generalmente puedes adivinar cuáles lugares son less diversos / more conservative que la norma. Decent latino population too i guess	Very safe
MASSACHUSETTS	Springfield	affordable, lots of free or cheap things to do, great enormous park, diversity of food options, no traffic, overall an easy place to live						Large Hispanic population	Worst crime in New England, as it's more like a Rust Belt city, but not terrible
MASSACHUSETTS	Worcester	Cheap-ish cost of living. Nice (but pricy) suburbs with great public schools if you're trying to set down roots. 1 hour drive from Boston with somewhat easy access to beaches and mountains. Small but growing list of fun resturants and bars.	Wish there were more things to do, though this is growing. While there is an airport in the city, flights are few. Will likely have to head out to Boston to make the most of social scene. Umass says theyre 45 minutes from boston but it's definitely more like an hour without traffic, likely more with boston's horrible traffic. Overall its not a great place, but there are definitely worse spots to be.	Bus routes. Not great. Would recommend a car.	Classic New England - see Boston. Spring - Fall are great. Winter to early spring are cold and wet.	A relatively small dating pool. While there are universities, it skews towards undergrads with smaller numbers of graduate students. Limited number of working professionals in the area as more jobs are in Boston.	meh	Ok	
MICHIGAN	Ann Arbor	Really easy to live in, with lots of green space and tons of trails/parks for running, walking, dog-parking, etc. There's a little downtown with some decent places to eat, though won't knock your socks off by any means. Pre-COVID, there was always something going on related to the university to keep things interesting: shows, concerts, speakers, and obviously sports. Michigan as a whole is also gorgeous-- lots of fantastic state parks within 30 minutes of Ann Arbor, and some fabulous Great Lakes weekend trips around the mitten. Detroit is just 40 min away if you want a bigger city feel. People truly love this university and end up falling in love with Ann Arbor oftentimes.	If you're coming from a major big city, it's definitely a step down. I think AA is one of the best college towns in the country with a lot of diverse food options and a good amount of things to do, but at the end of the day it is a college town. Not everyone's vibe.	Most people either live within walking distance of the hospital or drive. There is a unversity bus system that's pretty good, though.	The winter leaves something to be desired: it's quite, quite grey from December through the beginning of April, and pretty cold-- though not as bitter cold as other midwest places (Jan average has been low 30s). However, the summers are unbeatable. Perfect temperature (warm but not blistering or humid), with loads of lakes and parks to enjoy. Fall and spring are also gorgeous.	Probably B-tier, given that Ann Arbor is anchored by the University of Michigan and you're within 40 minutes from downtown Detroit. Lots of people who go to UM also settle in Ann Arbor after residency.	Very liberal city. Good gay bar with solid brunch. Plenty of same-sex parents	Ann Arbor itself is not diverse. Michigan Medicine has a massive catchment area, though, so you get folks from all over the state and surrounding area and capture much more diversity than Ann Arbor has alone.	Can't believe Ann Arbor is getting this much criticism. I love Ann Arbor, it's a great city. Intelligent population, everyone is kind, a lot of good high end to hole in the wall delicious restaurants. Gorgeous in the summer! Winter is hard but it's hard in literally any northern city. Toughen up! // Never had any safety concerns in Ann Arbor, from living there for 5+ years.
MICHIGAN	Detroit	Outstanding experience coming from LA. I thought it would be way worse but I honestly think the city has done a 360 or people have just been lying about it. Reminds of Philly in that there's green space you can find if you drive for 4 minutes outside the city. The people are extremely friendly, the downtown is iconic, lake front is beautiful, plenty of outdoor activities, the suburbs are not too far and have some of the richest per capita counties in the nation. There are also tons of less well off people but honestly it's been super safe and the city police have pretty much demolished any gang presence. Amazon/Whole foods have made a significant impact, there's tons of new businesses popping up downtown, the universities are definitely on the upswing (Wayne State, Oakland) and the suburbs house some of the top schools in the nation. Honestly, this is what LA used to be when I was a kid... <<what fucking alternative universe detroit has your dumbass been living in?	Not as diverse as some of the other west coast cities, burning hot summers > Summers are pretty nice, tbh. Winters are probably similar to Chicago/Milwaukee. It's typical Midwest weather through-and-through	- Traditional bus network  - People Mover (elevated downtown circulator)  - Q line light rail (through downtown and midtown)  - Limited suburb bus connections  - Amtrak connection to Chicago on Wolverine service    Built environment for multi-modal transportation is slowly decreasing the car-centric design of the past century with road diets, bicycling infrastructure, land use policy, etc. Definitely have a long way to go - this is the hub for the American automotive industry, afterall. Currently a bridge and tunnel (both tolled) connecting to Windsor Canada.	Not the best, better than Minnesota, Cleveland, worse than Cali obv. >Typical Midwest weather on-par with Chicago and Milwaukee.	Much better than I would have thought. x2. Dating in Metro Detroit was very nice, even as an Asian guy.	Very tolerant	Large african american population with huge arab/bengali population. There's also a reasonable latino population. In the suburbs there are mostly white collar whites. Large Middle Eastern population nearby (Dearborn). Small pockets of Asians in Oakland County (Troy, Madison Heights)	Like most cities but with higher rates of crime, although most violent crime is targeted and property crime opportunistic. As an average citizen I do not worry too much about violent crime, but stay aware of my surroundings. Practice city precautions (e.g., don't hang out in seedy areas based on your guts) and you should be fine.
MICHIGAN	Kalamazoo	small city with surrounding rural areas, 1 hr from Lake Michigan and Grand Rapids, 1.5 hrs from Ann Arbor, 2 hrs from Detroit and Chicago, lots of good food and beer, many outdoor activities	very conservative rural areas, more suburban (people from larger cities often complain about being bored here but I haven't had that issue)	not reliable at all	all 4 seasons, some lake effect snow but not as bad as other areas of the state	college town, probably not the best	downtown is okay, surrounding areas can be quite conservative	fairly white, decent sized black and African immigrant population downtown, small Mexican population in surrounding areas	
